path_yolu,baslik_h1,seo_title,seo_description,indexing,canonical,description,short_description,micro_line,notlar
/kesfet/kisiye-ozel-dovme-tasarimi,Kişiye Özel Dövme Tasarımı,Kişiye Özel Dövme Tasarımı | Enki Tattoo,"Kişiye özel dövme tasarımı: fikrini ve referanslarını paylaş; stil, ölçü ve yerleşimi netleştirelim. Fiyat al, tasarımını keşfet.",INDEX,/kesfet/kisiye-ozel-dovme-tasarimi,"Kişiye özel dövme tasarımında işin kalbi senin fikrin: anlam, hikâye ve referans. Bu sayfada minimal, lettering, realistik, blackwork gibi stillerde örnekleri görür; kol, bacak, sırt ve göğüs için boyut–yerleşim fikirlerini karşılaştırırsın. En iyi tasarımı keşfet.","Kişiye özel dövme tasarımı için fikrini anlat, referanslarını göster; kol, bacak, sırt gibi bölgelerde stil, ölçü ve yerleşimi görüp sana özel tasarım yönünü hızlıca yakala.","Fikrini anlat; sana özel tasarım fikrini büyüt, en iyi tasarımı keşfet.",
/galeri-tasarim,Dövme Tasarım Galerisi,Dövme Tasarım Galerisi: Tüm Stiller | Enki Tattoo,"Minimal & Fine Line, Lettering, Realistik, Portre, Traditional, Cover-Up, Blackwork, Atatürk ve Kişiye Özel tasarım örnekleri. Tarzını keşfet, teklif al",INDEX,/galeri-tasarim,"Bu galeri, dövme tarzını seçmeyi kolaylaştırır: minimal & fine line, lettering, realistik/portre, traditional, cover-up, blackwork, Atatürk teması ve kişiye özel çalışmalar burada. Farklı stillerin kol, bacak, sırt ve göğüste nasıl durduğunu görüp tasarım havasını kafanda canlandırırsın. Tarzını keşfet.","Dövme tasarım galerisinde en popüler stillerin örneklerini tek yerde gör; minimal, yazı/isim, realistik, traditional, blackwork ve cover-up tarzlarını gez, kol–bacak–sırt–göğüs yerleşimlerinde görünümü karşılaştır.",En çok tercih edilen dövme örnekleri burada; en iyi tasarımı keşfet.,Filtre parametreleri (örn. ?stil=...) sitemap’e girmez; noindex+canonical=/galeri.
/artistler,Dövme Sanatçıları & Artistler,Dövme Sanatçıları & Artistler | Enki Tattoo,"Dövme sanatçıları ve artistler: stilleri, tasarımları ve öne çıkan çalışmaları. Hepsini keşfet, tarzını seç.",INDEX,/artistler,"Artistler sayfasında her sanatçının tarzını ve yaptığı işleri netçe görürsün. Minimal, lettering, realistik/portre, traditional, blackwork ve cover-up gibi stillerde; kol, bacak, sırt ve göğüs örnekleri üzerinden farklar daha hızlı anlaşılır. Sana uyan tasarım havasını bulmak için profilleri gez. Kendini keşfet.","Enki Tattoo artistlerini tanı; her sanatçının öne çıkan işlerini ve çalıştığı stilleri gör, minimalden realistiğe sana uyan tasarım tarzını hızlıca yakala.",Öne çıkan artist işleriyle sana uyan tasarım tarzını bul; kendini keşfet.,
/artistler/halit-yalvac,Master Artist Halit Yalvaç | Dövme Sanatçısı & Eğitmen,"Halit Yalvaç | Master Artist, Eğitmen & Kurucu | Enki Tattoo","1995’ten beri dövme sanatçısı; Enki Tattoo’nun kurucusu, master artist ve eğitmeni. Uzmanlık stilleri ve tasarım yaklaşımını incele; Tasarımını keşfet.Bilgi al.",INDEX (şartlı),/artistler/halit-yalvac,"Halit Yalvaç, 2026 itibarıyla 43 yaşında (doğum yılı yaklaşık 1982–1983) ve dövme sektöründe yaklaşık 2001’den beri aktif. Daha önce Kosova ve Antalya’da turizm odaklı çalışmış; en çok Mersin’de üretmiş. Realistik, portre, dövme kapama, fine line, minimal ve blackwork başta olmak üzere geniş bir yelpazede tasarım yaklaşımıyla tanınır; ayrıca birçok stajyeri yetiştirip usta sanatçı seviyesine taşımıştır. Stüdyo adresi: İnönü, 1404. Sk. No:17 D:E, 33130 Yenişehir/Mersin. Telefon: 0553 710 80 33. İletişime geç.","Halit Yalvaç, Mersin Pozcu/Yenişehir’de yaklaşık 25 yıldır dövme sanatında; realistik, portre, dövme kapama, fine line, minimal ve blackwork alanlarında güçlü tasarım işleriyle öne çıkan usta bir artist.","25 yıllık tecrübe: portre, realistik, kapama ve fine line tasarım işleri.",İçerik doluysa INDEX; boş/çok benzerse NOINDEX.
/piercing,Mersin’de Piercing,Mersin Piercing | Enki Tattoo,"Mersin'de Kulak, burun, septum, kaş, dudak, dil, göbek ve industrial piercing; takı seçimi ve tasarım uyumu. Whatsapp'tan yaz. Fiyat al.",INDEX,/piercing,Kulak piercing sayfasında tek bir detaydan “stack” kombinlere kadar farklı görünüm fikirleri bulursun. Helix–tragus–conch gibi bölgelerde halka/clicker ile sade bir çizgi; taşlı stud ile daha parlak bir tasarım havası yakalanır. Steril stüdyo ortamında çalışılır. WhatsApp’tan yaz.,"Kulak piercing için lob ve kıkırdak stillerini keşfet; helix, tragus, conch, daith ve rook bölgelerinde halka, clicker, taşlı stud ve bar takılarla tasarım kombinini seç.",En çok tercih edilen kulak piercing kombinleri; minimal ve taşlı tasarım sevenler için.,
/piercing/kulak,Mersin Kulak Piercing,Mersin Kulak Piercing | Enki Tattoo,"Mersin'de Kulak piercing: lob ve kıkırdak (helix, tragus, conch, daith, rook) seçenekleri; takı seçimi ve tasarım uyumu. Hemen ara. Fiyatları incele.",INDEX,/piercing/kulak,"Kulak piercing sayfasında tek bir detaydan çoklu kombinlere kadar farklı görünüm fikirleri bulursun. Lob ve kıkırdak bölgelerinde (helix, tragus, conch, daith, rook) halka/clicker daha sade bir tasarım çizgisi verir; taşlı stud ve bar seçenekleri daha parlak ya da daha belirgin bir etki katar. Steril stüdyo ortamında çalışılır. Tarzını keşfet.","Kulak piercing için lob ve kıkırdak stillerini keşfet; helix, tragus, conch, daith ve rook’ta halka, clicker, taşlı stud ve bar takılarla tasarım kombinini karşılaştır.",En çok tercih edilen kulak piercing kombinleri; minimal ve taşlı tasarım sevenler için.,
/piercing/burun,Mersin Burun Piercing,Mersin Burun Piercing | Enki Tattoo,"Mersin'de Burun piercing (nostril): halka, taş/stud ve doğru yerleşim; bakım ve takı tasarım uyumu. Bilgi al, iletişime geç.",INDEX,/piercing/burun,"Burun piercing görünümünü takı tipine göre inceler: ince halka/clicker daha sade bir çizgi verir, taşlı stud daha dikkat çeken bir tasarım havası katar. Tekli kullanım ya da kulak piercing kombinleriyle uyumlu seçenekleri görüp kendi tarzını seçmek kolaylaşır. Steril stüdyo ortamında çalışılır. Tarzını keşfet.","Burun piercing (nostril) için halka, clicker ve taşlı stud seçeneklerini gör; minimal bir dokunuş mu yoksa parıltılı bir tasarım detayı mı istediğine göre yüzünde nasıl durduğunu karşılaştır.",En çok tercih edilen burun piercing stilleri; halka ve taşlı tasarım sevenler için.,
/piercing/kas,Mersin Kaş Piercing,Mersin Kaş Piercing | Enki Tattoo,"Mersin'de Kaş piercing: doğru yerleşim, anatomik uygunluk ve takı seçimi; tasarım uyumu ve bakım. Bilgi al, iletişime geç.",INDEX,/piercing/kas,"Kaş piercing sayfasında sade bar’dan taşlı detaylara uzanan stilleri görürsün; görünüm, seçtiğin detayla birlikte değişir. Tek başına daha temiz bir tasarım vurgusu yakalayabilir ya da burun/kulak piercing ile kombin kurup daha belirgin bir stil elde edebilirsin. Steril stüdyo ortamında çalışılır. İletişime geç.",Kaş piercing için bar ve taşlı detay seçeneklerini incele; daha net bir çizgi mi yoksa daha parlak bir tasarım dokunuşu mu istediğine göre yüz hattındaki etkiyi gör.,Öne çıkan kaş piercing görünümleri; net çizgi tasarım sevenler için.,
/piercing/dudak,Mersin Dudak Piercing,Mersin Dudak Piercing | Enki Tattoo,"Mersin dudak piercing: labret vb.; takı boyu ve tasarım uyumu, ağız bakımı. Hemen ara, fiyat al.",INDEX,/piercing/dudak,"Dudak piercing için labret gibi stilleri keşfet; top, taşlı detay ve halka seçenekleriyle minimal ya da daha iddialı tasarım havasını karşılaştır.","Bu sayfada dudak piercing görünümünü takı stiliyle değerlendirirsin: sade top daha minimal durur, taşlı detay daha parlak görünür, halka ise daha belirgin bir tasarım etkisi verir. Tek başına kullanabileceğin gibi kulak/burun piercing ile uyumlu bir kombin de kurabilirsin. Steril stüdyo ortamında çalışılır. WhatsApp’tan yaz.",En popüler dudak piercing stilleri; minimal ve halka tasarım sevenler için.,
/piercing/dil,Mersin Dil Piercing,Mersin Dil Piercing | Enki Tattoo,"Mersin'de dil piercing: minimal barbell, taşlı top ve renkli seçeneklerle stilini keşfet. Takı tasarım uyumunu seç; Fiyat al.",INDEX,/piercing/dil,"Dil piercing sayfasında farklı takı seçeneklerini görünüm odaklı incelersin: minimal barbell daha sade durur, taşlı top daha parıltılı bir tasarım havası katar. Renk ve detay farklarını görüp kendi tarzına uygun seçimi yapmak kolaylaşır. Steril stüdyo ortamında çalışılır. Bilgi al.","Dil piercing için minimal barbell, taşlı top ve renkli seçenekleri gör; daha sakin bir tasarım dokunuşu mu yoksa daha canlı bir detay mı istediğine göre görünümü karşılaştır.",Öne çıkan dil piercing seçenekleri; minimal ve taşlı tasarım sevenler için.,
/piercing/gobek,Mersin Göbek Piercing,Mersin Göbek Piercing | Enki Tattoo,"Mersin'de göbek piercing: taşlı bar, minimal top veya parlak detaylarla yaz stiline uygun tasarım. Tarzını keşfet, fiyat al.",INDEX,/piercing/gobek,"Göbek piercing’te işi güzelleştiren şey takının detayı: taşlı bar daha ışıltılı bir tasarım verir, sade top daha temiz durur. Yaz kombinleriyle uyum yakalamak için örneklere bakıp “minimal mi parlak mı?” diye hızlıca karar verirsin. Steril stüdyo ortamında çalışılır. Tarzını keşfet.","Göbek piercing için taşlı bar, sade top ve parlak detayları gör; bikiniyle, crop’la nasıl durur diye bakıp sana yakışan tasarım havasını kolayca yakala.",En çok tercih edilen göbek piercing stilleri; taşlı tasarım sevenler için.,Slug ASCII: gobek.
/piercing/septum,Mersin Septum Piercing,Mersin’de Septum Piercing | Enki Tattoo,"Septum piercing: halka/clicker, taşlı veya sade seçenekler; doğru yerleşim ve tasarım uyumu. Fiyat al, iletişime geç.",INDEX,/piercing/septum,"Septum’da ince halka daha minimal bir tasarım verir, clicker daha belirgin durur; taşlı detaylar ise işi parlatır. Tek başına da güzel durur, burun ve kulak piercing ile kombin yapınca daha farklı bir hava yakalarsın. Steril stüdyo ortamında çalışılır. WhatsApp’tan yaz.","Septum piercing için halka, clicker ve at nalı stillerini incele; sade mi taşlı mı, yüzünde nasıl durduğuna göre tasarım havasını seç.",En popüler septum stilleri; halka ve clicker tasarım sevenler için.,
/piercing/industrial,Mersin Industrial Piercing,Mersin’de Industrial Piercing | Enki Tattoo,"Industrial piercing: iki delik–tek bar; kulak anatomisine uygunluk ve takı tasarım uyumu. Fiyat al, hemen ara.",INDEX,/piercing/industrial,"Industrial, kulakta “tek çizgi” gibi duran o iddialı tasarım etkisiyle hemen fark edilir. Sade bar daha temiz görünür; parlak/top detayları daha dikkat çeker. Kulak kombinine güçlü bir çizgi katmak isteyenler için çok iyi bir seçimdir. Steril stüdyo ortamında çalışılır. Bilgi al.","Industrial piercing’te kulakta tek barla net bir çizgi görünümü var; sade bar mı detaylı mı, kulak üzerinde tasarım duruşunu karşılaştırıp tarzını bul.",Öne çıkan industrial görünümleri; net çizgi tasarım sevenler için.,
/piercing/kisiye-ozel,Mersin Kişiye Özel Piercing,Mersin Kişiye Özel Piercing | Enki Tattoo,"Kişiye özel piercing: anatomiye göre yerleşim ve takı seçimi; minimal veya taşlı tasarım uyumu. Bilgi al, teklif al.",INDEX,/piercing/kisiye-ozel,"Kişiye özel piercing’te olay senin tarzın: sade bir halka ile temiz bir tasarım yakalarsın, taşlı detayla daha parlak bir hava çıkar. Tek parça mı istiyorsun, yoksa kulakta kombin mi? Örnekleri görüp kendine göre bir görünüm kurmak daha kolay olur. Steril stüdyo ortamında çalışılır. En iyi tasarımı keşfet.","Kişiye özel piercing’te tekli mi kombin mi istediğine bak; halka, clicker, taşlı stud ve bar seçenekleriyle sana yakışan tasarım havasını bul.",Tarzına uyan piercing görünümü; minimal ve taşlı tasarım sevenler için.,
/iletisim,İletişim & Konum,Mersin Enki Tattoo | İletişim & Konum,"Adres, yol tarifi ve çalışma saatleri. Dövme/piercing için tasarım fikrini paylaş; teklif al, iletişime geç.",INDEX,/iletisim,Enki Tattoo’ya gelmek için adresi ve yol tarifini buradan açıp direkt bakarsın; çalışma saatleri de sayfada yer alır. WhatsApp ve arama seçenekleriyle hızlıca ulaşıp aklındaki tasarım fikrini iki cümleyle anlatman yeter. İletişime geç.,"Adres, yol tarifi ve çalışma saatleri; dövme ya da piercing için aklındaki tasarım fikrini yaz, hemen iletişim geç.","Adres ve yol tarifi al; Tüm iletişim seçenekleri; WhatsApp’tan yaz, kendini keşfet.",Tek şube bilgisi burada gösterilecek (adres/harita/WhatsApp).
